Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
72,15.702,12.500,14.423,0,17.308,2.564,0,12.796,14.734,255,255
72,12.889,11.378,13.301,0,16.667,3.526,0,11.114,12.140,255,255
72,7.965,12.179,10.096,0,15.064,4.006,0,6.738,7.191,255,255
72,6.312,5.769,11.058,0,10.897,8.974,0,5.535,5.863,255,255
72,6.257,13.622,4.167,0,10.897,8.974,0,5.526,5.882,255,255
72,6.096,15.064,4.006,0,16.186,2.885,0,1.586,5.178,255,255
72,3.068,10.256,12.179,0,12.179,10.096,0,2.835,2.890,255,255
72,1.747,10.897,8.974,0,12.179,10.096,0,1.704,1.133,255,255
72,1.680,15.064,4.006,0,16.186,2.885,0,1.586,1.390,255,255
72,1.227,17.949,1.603,0,17.308,2.564,0,1.156,1.103,255,255
72,1.227,16.667,3.526,0,17.308,2.564,0,1.156,0.959,255,255
72,0.840,16.186,2.885,0,16.667,3.526,0,0.801,0.406,255,255
73,1.161,5.769,28.045,0,6.731,28.526,0,1.075,1.005,255,255
74,0.707,5.929,19.391,0,6.571,19.231,0,0.661,0.655,255,255
75,0.774,6.090,14.583,0,6.731,14.263,0,0.717,0.688,255,255
76,0.547,6.090,22.756,0,6.571,22.596,0,0.507,0.489,255,255
77,1.000,6.250,26.282,0,7.051,26.442,0,0.817,0.884,255,255
78,21.522,6.250,35.417,0,7.853,40.064,0,4.916,19.141,255,255
78,2.349,7.853,37.981,0,7.853,40.064,0,2.083,1.987,255,255
78,0.614,8.173,40.545,0,7.853,40.064,0,0.578,0.453,255,255
79,1.255,6.250,38.462,0,6.571,39.583,0,1.167,1.321,255,255
80,0.321,6.410,17.788,0,6.731,17.788,0,0.321,0.321,255,255
82,0.160,6.731,12.660,0,6.731,12.821,0,0.160,0.160,255,255
83,0.774,7.051,16.186,0,7.692,15.865,0,0.717,0.688,255,255
85,1.415,7.212,22.596,0,8.494,22.596,0,1.282,1.288,255,255
86,0.227,7.532,24.679,0,7.692,24.840,0,0.227,0.227,255,255
87,2.614,8.974,13.782,0,8.654,12.019,0,1.792,2.358,255,255
87,1.188,7.692,12.340,0,8.654,12.019,0,1.014,1.125,255,255
87,0.160,8.654,11.859,0,8.654,12.019,0,0.160,0.160,255,255
88,0.227,8.013,0.321,0,8.173,0.160,0,0.227,0.227,255,255
89,0.227,8.013,27.404,0,8.173,27.564,0,0.227,0.227,255,255
90,0.774,8.494,17.308,0,9.135,16.987,0,0.717,0.825,255,255
91,0.227,8.654,35.577,0,8.814,35.737,0,0.227,0.227,255,255
92,3.217,9.615,37.821,0,11.859,38.622,0,2.382,2.537,255,255
92,2.548,13.141,40.545,0,11.859,38.622,0,2.311,2.321,255,255
92,2.028,9.615,37.821,0,10.256,39.583,0,1.876,1.463,255,255
92,2.001,10.256,39.583,0,11.859,38.622,0,1.869,1.310,255,255
92,1.161,10.737,40.545,0,10.256,39.583,0,1.075,1.193,255,255
92,0.481,9.135,37.821,0,9.615,37.821,0,0.481,0.481,255,255
93,0.707,9.295,0.641,0,9.455,1.282,0,0.661,0.740,255,255
94,0.160,9.295,24.199,0,9.295,24.359,0,0.160,0.160,255,255
96,0.614,9.615,18.750,0,10.096,18.429,0,0.578,0.646,255,255
97,6.268,9.615,29.808,0,12.179,30.449,0,2.643,5.782,255,255
98,1.227,9.936,15.224,0,10.897,14.583,0,1.156,1.151,255,255
100,0.680,10.096,30.929,0,10.577,31.410,0,0.680,0.680,255,255
101,0.160,10.256,34.776,0,10.256,34.936,0,0.160,0.160,255,255
102,0.774,10.577,20.032,0,11.218,19.712,0,0.717,0.754,255,255
103,1.774,10.737,16.667,0,12.179,15.865,0,1.650,1.737,255,255
104,2.575,10.737,21.795,0,12.821,21.474,0,2.108,2.386,255,255
105,17.211,19.071,28.045,0,25.641,14.423,0,15.124,16.132,255,255
105,12.021,40.064,12.660,0,30.128,11.699,0,9.982,11.216,255,255
105,10.329,36.378,14.423,0,27.244,13.782,0,9.157,9.835,255,255
105,7.323,15.385,26.122,0,18.590,22.917,0,4.533,6.567,255,255
105,7.136,19.551,23.718,0,21.795,18.269,0,5.893,6.660,255,255
105,7.058,21.795,18.269,0,24.519,12.340,0,6.525,6.407,255,255
