Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
65,1.747,7.212,38.462,0,8.333,39.744,0,1.704,1.004,255,255
65,1.708,4.647,40.064,0,6.090,40.064,0,1.442,1.647,255,255
65,1.519,7.212,38.462,0,8.494,38.782,0,1.322,0.998,255,255
65,1.415,13.942,37.340,0,13.942,38.622,0,1.282,1.297,255,255
65,1.161,8.494,38.782,0,9.455,38.942,0,0.975,0.489,255,255
65,1.132,8.974,39.263,0,9.455,38.942,0,0.578,0.698,255,255
65,0.934,8.333,39.744,0,8.974,39.263,0,0.801,0.692,255,255
65,0.868,14.744,38.782,0,13.942,38.622,0,0.817,0.868,255,255
65,0.680,8.494,38.782,0,8.974,39.263,0,0.680,0.227,255,255
65,0.641,6.571,38.462,0,7.212,38.462,0,0.641,0.321,255,255
65,0.614,11.859,38.622,0,11.538,39.103,0,0.578,0.598,255,255
66,2.349,4.808,15.705,0,6.571,15.064,0,1.876,2.066,255,255
67,0.547,4.968,19.391,0,5.449,19.231,0,0.507,0.575,255,255
68,0.160,5.128,5.769,0,5.128,5.929,0,0.160,0.160,255,255
70,0.227,5.288,25.641,0,5.449,25.801,0,0.227,0.227,255,255
71,0.934,5.609,24.679,0,6.410,24.359,0,0.863,0.846,255,255
72,3.736,11.218,26.923,0,8.333,27.885,0,3.041,3.252,255,255
72,2.923,5.609,27.404,0,8.333,27.885,0,2.766,2.779,255,255
72,2.255,10.096,28.846,0,8.333,27.885,0,2.008,1.876,255,255
73,0.227,5.929,4.487,0,6.090,4.647,0,0.227,0.227,255,255
74,1.028,6.090,12.821,0,7.051,12.660,0,0.975,0.973,255,255
75,0.387,6.250,13.462,0,6.571,13.622,0,0.358,0.406,255,255
76,2.509,6.250,33.494,0,6.891,35.737,0,2.333,2.541,255,255
78,6.444,6.571,3.846,0,8.974,5.769,0,3.078,5.717,255,255
78,0.774,9.295,6.410,0,8.974,5.769,0,0.717,0.489,255,255
78,0.321,8.974,5.609,0,8.974,5.769,0,0.160,0.000,0,0
79,0.160,6.891,22.276,0,7.051,22.276,0,0.160,0.160,255,255
80,0.160,7.051,10.577,0,7.051,10.737,0,0.160,0.160,255,255
81,0.774,7.051,11.699,0,7.692,11.378,0,0.717,0.778,255,255
82,0.160,7.051,26.442,0,7.212,26.442,0,0.160,0.160,255,255
83,0.321,7.212,23.878,0,7.532,23.878,0,0.321,0.321,255,255
84,11.021,7.372,0.321,0,15.064,4.167,0,8.600,10.114,255,255
85,0.387,7.372,2.244,0,7.692,2.404,0,0.358,0.406,255,255
86,1.774,7.532,16.667,0,8.333,15.545,0,1.379,1.674,255,255
86,1.614,8.173,13.622,0,8.974,14.904,0,1.512,1.644,255,255
86,1.481,9.615,15.385,0,8.974,14.904,0,0.801,1.060,255,255
86,1.387,7.372,14.744,0,8.333,15.545,0,1.252,1.369,255,255
86,1.000,8.333,15.545,0,8.974,14.904,0,0.907,0.339,255,255
87,0.774,7.692,19.872,0,8.173,19.712,0,0.507,0.387,255,255
87,0.547,7.372,20.192,0,7.692,19.872,0,0.453,0.500,255,255
87,0.453,7.532,19.231,0,7.853,19.551,0,0.453,0.453,255,255
87,0.453,8.494,19.712,0,8.173,19.712,0,0.321,0.453,255,255
87,0.387,7.692,19.872,0,7.853,19.551,0,0.358,0.000,0,0
87,0.387,7.853,19.551,0,8.173,19.712,0,0.358,0.227,255,255
88,1.094,7.372,25.801,0,8.333,25.801,0,0.962,1.050,255,255
90,1.000,7.532,21.955,0,8.333,21.474,0,0.934,0.919,255,255
91,1.415,7.532,32.212,0,8.814,32.532,0,1.322,1.417,255,255
92,1.868,9.295,35.577,0,8.494,34.135,0,1.650,1.856,255,255
92,0.840,7.853,34.615,0,8.494,34.135,0,0.801,0.846,255,255
92,0.680,8.333,33.654,0,8.494,34.135,0,0.507,0.680,255,255
94,2.962,8.013,30.449,0,10.096,31.891,0,2.534,2.744,255,255
97,0.160,8.654,24.038,0,8.814,24.038,0,0.160,0.160,255,255
98,0.160,8.814,12.340,0,8.974,12.340,0,0.160,0.160,255,255
101,1.387,9.295,16.987,0,8.494,17.949,0,1.252,1.242,255,255
101,1.067,8.494,17.949,0,8.654,18.269,0,0.358,0.556,255,255
101,0.547,9.135,18.429,0,8.654,18.269,0,0.507,0.489,255,255
101,0.387,8.494,17.949,0,8.654,18.269,0,0.358,0.000,0,0
103,0.160,9.295,0.481,0,9.455,0.481,0,0.160,0.160,255,255
104,0.321,9.295,3.526,0,9.615,3.526,0,0.321,0.321,255,255
105,0.160,9.295,4.647,0,9.455,4.647,0,0.160,0.160,255,255
107,1.614,9.455,22.115,0,10.737,22.917,0,1.512,1.437,255,255
107,1.000,10.256,23.718,0,10.737,22.917,0,0.934,0.825,255,255
107,0.481,11.218,22.917,0,10.737,22.917,0,0.481,0.321,255,255
108,0.160,9.615,4.167,0,9.776,4.167,0,0.160,0.160,255,255
109,0.321,9.615,8.654,0,9.936,8.654,0,0.321,0.321,255,255
110,1.000,9.615,19.071,0,10.417,18.590,0,0.934,0.874,255,255
111,5.096,13.141,19.712,0,10.096,20.513,0,3.149,4.766,255,255
111,0.707,9.615,20.833,0,10.096,20.513,0,0.578,0.650,255,255
111,0.321,10.096,20.192,0,10.096,20.513,0,0.321,0.321,255,255
112,3.283,9.615,24.840,0,12.019,25.321,0,2.451,2.944,255,255
